GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
stringhold,com.kohlschutter.stringhold,LazyInitReader.KickstartPlaceholder,0,68,0,0,0,16,0,11,0,11
stringhold,com.kohlschutter.stringhold,LazyInitReaderReleaseShim,0,8,0,0,0,2,0,2,0,2
stringhold,com.kohlschutter.stringhold,LazyInitReaderReleaseShim.KickstartPlaceholderReleaseShim,0,12,0,0,0,2,0,2,0,2
stringhold,com.kohlschutter.stringhold,LimitedStringHolderScope,0,128,0,8,0,29,0,15,0,11
stringhold,com.kohlschutter.stringhold,IOExceptionHandler.ExceptionResponse,0,33,0,0,0,6,0,1,0,1
stringhold,com.kohlschutter.stringhold,CachedIOSupplier,0,39,0,4,0,12,0,4,0,2
stringhold,com.kohlschutter.stringhold,StringHolderScope,0,3,0,0,0,3,0,3,0,3
stringhold,com.kohlschutter.stringhold,StringHolderSequence.StringSequenceReader,0,134,0,16,0,39,0,15,0,7
stringhold,com.kohlschutter.stringhold,StringSequence,0,5,0,0,0,3,0,2,0,2
stringhold,com.kohlschutter.stringhold,ReaderStringHolder,0,308,0,21,0,87,0,21,0,9
stringhold,com.kohlschutter.stringhold,FixedLengthSuppliedStringHolder,0,31,0,2,0,9,0,5,0,4
stringhold,com.kohlschutter.stringhold,CharSequenceReleaseShim,0,13,0,2,0,3,0,4,0,3
stringhold,com.kohlschutter.stringhold,StringHolder,0,763,0,114,0,209,0,111,0,54
stringhold,com.kohlschutter.stringhold,LazyInitReader,0,108,0,4,0,25,0,19,0,17
stringhold,com.kohlschutter.stringhold,SuppliedStringHolder,0,18,0,2,0,4,0,3,0,2
stringhold,com.kohlschutter.stringhold,StringHolderSequence,0,477,0,58,0,128,0,47,0,18
stringhold,com.kohlschutter.stringhold,SimpleStringHolder,0,14,0,0,0,4,0,2,0,2
