GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
stringhold-common,com.kohlschutter.stringhold,LazyInitReaderReleaseShim.KickstartPlaceholderReleaseShim,0,12,0,0,0,2,0,2,0,2
stringhold-common,com.kohlschutter.stringhold,IOExceptionHandler.ExceptionResponse,0,33,0,0,0,6,0,1,0,1
stringhold-common,com.kohlschutter.stringhold,ConditionalStringHolder,0,304,0,60,0,98,0,62,0,32
stringhold-common,com.kohlschutter.stringhold,ReaderShim,0,5,0,0,0,2,0,2,0,2
stringhold-common,com.kohlschutter.stringhold,StringHolderScope,0,8,0,0,0,4,0,4,0,4
stringhold-common,com.kohlschutter.stringhold,HasKnownLength,0,2,0,0,0,1,0,1,0,1
stringhold-common,com.kohlschutter.stringhold,StringHolderSequence.StringSequenceReader,0,131,0,14,0,38,0,14,0,7
stringhold-common,com.kohlschutter.stringhold,ReaderStringHolder,0,302,0,21,0,87,0,21,0,9
stringhold-common,com.kohlschutter.stringhold,CharSequenceReleaseShim,0,13,0,2,0,3,0,4,0,3
stringhold-common,com.kohlschutter.stringhold,SuppliedStringHolder,0,390,0,56,0,112,0,44,0,15
stringhold-common,com.kohlschutter.stringhold,AbstractStringHolder,0,1216,0,212,0,365,0,166,0,60
stringhold-common,com.kohlschutter.stringhold,AsyncStringHolderSequence,0,267,0,28,0,64,0,28,0,14
stringhold-common,com.kohlschutter.stringhold,StringHolderSequence,1,893,2,132,1,242,2,97,0,32
stringhold-common,com.kohlschutter.stringhold,SimpleStringHolder,0,10,0,0,0,4,0,2,0,2
stringhold-common,com.kohlschutter.stringhold,LazyInitReader.KickstartPlaceholder,0,68,0,0,0,16,0,11,0,11
stringhold-common,com.kohlschutter.stringhold,LazyInitReaderReleaseShim,0,8,0,0,0,2,0,2,0,2
stringhold-common,com.kohlschutter.stringhold,LimitedStringHolderScope,0,130,0,8,0,29,0,15,0,11
stringhold-common,com.kohlschutter.stringhold,HasLength,0,26,0,8,0,6,0,8,0,4
stringhold-common,com.kohlschutter.stringhold,CachedIOSupplier,0,39,0,4,0,12,0,4,0,2
stringhold-common,com.kohlschutter.stringhold,CommonStrings,0,366,0,18,0,40,0,13,0,4
stringhold-common,com.kohlschutter.stringhold,StringHolderScope.new StringHolderScope() {...},0,3,0,0,0,1,0,1,0,1
stringhold-common,com.kohlschutter.stringhold,FixedLengthSuppliedStringHolder,0,41,0,2,0,12,0,6,0,5
stringhold-common,com.kohlschutter.stringhold,StringHolder,5,557,0,110,1,130,1,88,1,32
stringhold-common,com.kohlschutter.stringhold,HasMinimumLength,0,3,0,0,0,1,0,1,0,1
stringhold-common,com.kohlschutter.stringhold,LazyInitReader,0,108,0,4,0,25,0,19,0,17
stringhold-common,com.kohlschutter.stringhold,StringOnlySequence,0,14,0,0,0,6,0,4,0,4
stringhold-common,com.kohlschutter.stringhold,SuppliedStringHolder.new IOExceptionHandler() {...},0,3,0,0,0,1,0,1,0,1
stringhold-common,com.kohlschutter.stringhold,HasExpectedLength,0,2,0,0,0,1,0,1,0,1
